"","X","Countrycode","Namespace","AirQualityNetwork","AirQualityStation","AirQualityStationEoICode","SamplingPoint","SamplingProcess","Sample","AirPollutant","AirPollutantCode","AveragingTime","Concentration","UnitOfMeasurement","DatetimeBegin","DatetimeEnd","Validity","Verification","statname","stattype","statareatype","lon","lat","altitude"
"1",1,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",17,"µg/m3","2013-01-02 00:00:00 +01:00","2013-01-03 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"2",2,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",94,"µg/m3","2013-01-01 00:00:00 +01:00","2013-01-02 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"3",3,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",20,"µg/m3","2013-01-11 00:00:00 +01:00","2013-01-12 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"4",4,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",10,"µg/m3","2013-03-05 00:00:00 +01:00","2013-03-06 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"5",5,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",16,"µg/m3","2013-03-11 00:00:00 +01:00","2013-03-12 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"6",6,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",17,"µg/m3","2013-03-09 00:00:00 +01:00","2013-03-10 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"7",7,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",56,"µg/m3","2013-03-27 00:00:00 +01:00","2013-03-28 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"8",8,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",10,"µg/m3","2013-02-07 00:00:00 +01:00","2013-02-08 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"9",9,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",16,"µg/m3","2013-02-20 00:00:00 +01:00","2013-02-21 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"10",10,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",11,"µg/m3","2013-10-26 00:00:00 +01:00","2013-10-27 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"11",11,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",4,"µg/m3","2013-04-12 00:00:00 +01:00","2013-04-13 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"12",12,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",20,"µg/m3","2013-04-16 00:00:00 +01:00","2013-04-17 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"13",13,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",9,"µg/m3","2013-05-03 00:00:00 +01:00","2013-05-04 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"14",14,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",9,"µg/m3","2013-05-07 00:00:00 +01:00","2013-05-08 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"15",15,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",4,"µg/m3","2013-05-10 00:00:00 +01:00","2013-05-11 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"16",16,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",11,"µg/m3","2013-04-25 00:00:00 +01:00","2013-04-26 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"17",17,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",4,"µg/m3","2013-05-23 00:00:00 +01:00","2013-05-24 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"18",18,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",4,"µg/m3","2013-05-22 00:00:00 +01:00","2013-05-23 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"19",19,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",12,"µg/m3","2013-06-07 00:00:00 +01:00","2013-06-08 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"20",20,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",5,"µg/m3","2013-06-14 00:00:00 +01:00","2013-06-15 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"21",21,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",18,"µg/m3","2013-06-20 00:00:00 +01:00","2013-06-21 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"22",22,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",17,"µg/m3","2013-07-12 00:00:00 +01:00","2013-07-13 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"23",23,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",19,"µg/m3","2013-07-11 00:00:00 +01:00","2013-07-12 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"24",24,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14,"µg/m3","2013-07-08 00:00:00 +01:00","2013-07-09 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"25",25,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",6,"µg/m3","2013-06-30 00:00:00 +01:00","2013-07-01 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"26",26,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",11,"µg/m3","2013-06-27 00:00:00 +01:00","2013-06-28 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
"27",27,"AT","AT.0008.20.AQ","NET.08","STA.08.2708","AT82708","SPO.08.2708.55660.5.1","SPP.08.2708.55660.5.1.4964","SAM.08.2708.55660.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",7,"µg/m3","2013-09-20 00:00:00 +01:00","2013-09-21 00:00:00 +01:00",1,1,"Bludenz Herrengasse","Background","suburban",9.82723,47.156113,580
