"","X","Countrycode","Namespace","AirQualityNetwork","AirQualityStation","AirQualityStationEoICode","SamplingPoint","SamplingProcess","Sample","AirPollutant","AirPollutantCode","AveragingTime","Concentration","UnitOfMeasurement","DatetimeBegin","DatetimeEnd","Validity","Verification","statname","stattype","statareatype","lon","lat","altitude"
"1",1,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",17,"µg/m3","2013-10-19 00:00:00 +01:00","2013-10-20 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"2",2,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",36,"µg/m3","2013-01-21 00:00:00 +01:00","2013-01-22 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"3",3,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14,"µg/m3","2013-02-07 00:00:00 +01:00","2013-02-08 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"4",4,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",17,"µg/m3","2013-03-09 00:00:00 +01:00","2013-03-10 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"5",5,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",15,"µg/m3","2013-03-13 00:00:00 +01:00","2013-03-14 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"6",6,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14,"µg/m3","2013-03-18 00:00:00 +01:00","2013-03-19 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"7",7,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",45,"µg/m3","2013-03-24 00:00:00 +01:00","2013-03-25 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"8",8,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",8,"µg/m3","2013-05-24 00:00:00 +01:00","2013-05-25 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"9",9,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14,"µg/m3","2013-05-06 00:00:00 +01:00","2013-05-07 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"10",10,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14,"µg/m3","2013-05-07 00:00:00 +01:00","2013-05-08 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"11",11,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",22,"µg/m3","2013-06-20 00:00:00 +01:00","2013-06-21 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"12",12,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",5,"µg/m3","2013-05-29 00:00:00 +01:00","2013-05-30 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"13",13,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",8,"µg/m3","2013-07-04 00:00:00 +01:00","2013-07-05 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"14",14,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",19,"µg/m3","2013-07-09 00:00:00 +01:00","2013-07-10 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"15",15,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",8,"µg/m3","2013-09-12 00:00:00 +01:00","2013-09-13 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"16",16,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",8,"µg/m3","2013-07-30 00:00:00 +01:00","2013-07-31 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"17",17,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",11,"µg/m3","2013-08-18 00:00:00 +01:00","2013-08-19 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"18",18,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",10,"µg/m3","2013-08-20 00:00:00 +01:00","2013-08-21 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"19",19,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",12,"µg/m3","2013-08-12 00:00:00 +01:00","2013-08-13 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"20",20,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14,"µg/m3","2013-11-22 00:00:00 +01:00","2013-11-23 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"21",21,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",10,"µg/m3","2013-11-06 00:00:00 +01:00","2013-11-07 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"22",22,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",9,"µg/m3","2013-10-16 00:00:00 +01:00","2013-10-17 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"23",23,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",25,"µg/m3","2013-11-01 00:00:00 +01:00","2013-11-02 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"24",24,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14,"µg/m3","2013-10-05 00:00:00 +01:00","2013-10-06 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"25",25,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",13,"µg/m3","2013-10-10 00:00:00 +01:00","2013-10-11 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"26",26,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",17,"µg/m3","2013-12-07 00:00:00 +01:00","2013-12-08 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"27",27,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",7,"µg/m3","2013-12-26 00:00:00 +01:00","2013-12-27 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"28",28,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",20,"µg/m3","2013-12-22 00:00:00 +01:00","2013-12-23 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"29",29,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",18,"µg/m3","2013-11-08 00:00:00 +01:00","2013-11-09 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
"30",30,"AT","AT.0008.20.AQ","NET.08","STA.08.0807","AT80807","SPO.08.0807.4954.5.1","SPP.08.0807.4954.5.1.4768","SAM.08.0807.4954.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",10,"µg/m3","2013-11-17 00:00:00 +01:00","2013-11-18 00:00:00 +01:00",1,1,"Dornbirn Stadtstraße","Background","urban",9.744175,47.410835,440
