"","X","Countrycode","Namespace","AirQualityNetwork","AirQualityStation","AirQualityStationEoICode","SamplingPoint","SamplingProcess","Sample","AirPollutant","AirPollutantCode","AveragingTime","Concentration","UnitOfMeasurement","DatetimeBegin","DatetimeEnd","Validity","Verification","statname","stattype","statareatype","lon","lat","altitude"
"1",1,"AT","AT.0008.20.AQ","NET.06","STA.06.170","AT60170","SPO.06.170.55472.5.1","SPP.06.170.55472.5.1.4678","SAM.06.170.55472.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",68,"µg/m3","2013-01-02 00:00:00 +01:00","2013-01-03 00:00:00 +01:00",1,1,"Graz Süd Tiergartenweg","Background","urban",15.434175,47.041943,345
"2",2,"AT","AT.0008.20.AQ","NET.06","STA.06.170","AT60170","SPO.06.170.55472.5.1","SPP.06.170.55472.5.1.4678","SAM.06.170.55472.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14.80000019,"µg/m3","2013-01-05 00:00:00 +01:00","2013-01-06 00:00:00 +01:00",1,1,"Graz Süd Tiergartenweg","Background","urban",15.434175,47.041943,345
"3",3,"AT","AT.0008.20.AQ","NET.06","STA.06.170","AT60170","SPO.06.170.55472.5.1","SPP.06.170.55472.5.1.4678","SAM.06.170.55472.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",66.80000305,"µg/m3","2013-01-03 00:00:00 +01:00","2013-01-04 00:00:00 +01:00",1,1,"Graz Süd Tiergartenweg","Background","urban",15.434175,47.041943,345
"4",4,"AT","AT.0008.20.AQ","NET.06","STA.06.170","AT60170","SPO.06.170.55472.5.1","SPP.06.170.55472.5.1.4678","SAM.06.170.55472.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",129,"µg/m3","2013-01-01 00:00:00 +01:00","2013-01-02 00:00:00 +01:00",1,1,"Graz Süd Tiergartenweg","Background","urban",15.434175,47.041943,345
"5",5,"AT","AT.0008.20.AQ","NET.06","STA.06.170","AT60170","SPO.06.170.55472.5.1","SPP.06.170.55472.5.1.4678","SAM.06.170.55472.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",73.19999694,"µg/m3","2013-01-28 00:00:00 +01:00","2013-01-29 00:00:00 +01:00",1,1,"Graz Süd Tiergartenweg","Background","urban",15.434175,47.041943,345
"6",6,"AT","AT.0008.20.AQ","NET.06","STA.06.170","AT60170","SPO.06.170.55472.5.1","SPP.06.170.55472.5.1.4678","SAM.06.170.55472.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",56.5,"µg/m3","2013-01-27 00:00:00 +01:00","2013-01-28 00:00:00 +01:00",1,1,"Graz Süd Tiergartenweg","Background","urban",15.434175,47.041943,345
"7",7,"AT","AT.0008.20.AQ","NET.06","STA.06.170","AT60170","SPO.06.170.55472.5.1","SPP.06.170.55472.5.1.4678","SAM.06.170.55472.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",17.39999961,"µg/m3","2013-02-06 00:00:00 +01:00","2013-02-07 00:00:00 +01:00",1,1,"Graz Süd Tiergartenweg","Background","urban",15.434175,47.041943,345
"8",8,"AT","AT.0008.20.AQ","NET.06","STA.06.170","AT60170","SPO.06.170.55472.5.1","SPP.06.170.55472.5.1.4678","SAM.06.170.55472.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",26.39999961,"µg/m3","2013-02-07 00:00:00 +01:00","2013-02-08 00:00:00 +01:00",1,1,"Graz Süd Tiergartenweg","Background","urban",15.434175,47.041943,345
"9",9,"AT","AT.0008.20.AQ","NET.06","STA.06.170","AT60170","SPO.06.170.55472.5.1","SPP.06.170.55472.5.1.4678","SAM.06.170.55472.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",25.10000038,"µg/m3","2013-07-09 00:00:00 +01:00","2013-07-10 00:00:00 +01:00",1,1,"Graz Süd Tiergartenweg","Background","urban",15.434175,47.041943,345
"10",10,"AT","AT.0008.20.AQ","NET.06","STA.06.170","AT60170","SPO.06.170.55472.5.1","SPP.06.170.55472.5.1.4678","SAM.06.170.55472.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",11.10000038,"µg/m3","2013-09-12 00:00:00 +01:00","2013-09-13 00:00:00 +01:00",1,1,"Graz Süd Tiergartenweg","Background","urban",15.434175,47.041943,345
