"","X","Countrycode","Namespace","AirQualityNetwork","AirQualityStation","AirQualityStationEoICode","SamplingPoint","SamplingProcess","Sample","AirPollutant","AirPollutantCode","AveragingTime","Concentration","UnitOfMeasurement","DatetimeBegin","DatetimeEnd","Validity","Verification","statname","stattype","statareatype","lon","lat","altitude"
"1",1,"AT","AT.0008.20.AQ","NET.07","STA.07.2106","AT72106","SPO.07.2106.55837.5.1","SPP.07.2106.55837.5.1.2413","SAM.07.2106.55837.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",59.93099594,"µg/m3","2013-01-27 00:00:00 +01:00","2013-01-28 00:00:00 +01:00",1,1,"Innsbruck Reichenau","Traffic","urban",11.417789,47.271667,570
"2",2,"AT","AT.0008.20.AQ","NET.07","STA.07.2106","AT72106","SPO.07.2106.55837.5.1","SPP.07.2106.55837.5.1.2413","SAM.07.2106.55837.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",56.09599685,"µg/m3","2013-01-28 00:00:00 +01:00","2013-01-29 00:00:00 +01:00",1,1,"Innsbruck Reichenau","Traffic","urban",11.417789,47.271667,570
"3",3,"AT","AT.0008.20.AQ","NET.07","STA.07.2106","AT72106","SPO.07.2106.55837.5.1","SPP.07.2106.55837.5.1.2413","SAM.07.2106.55837.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",41.61299896,"µg/m3","2013-01-29 00:00:00 +01:00","2013-01-30 00:00:00 +01:00",1,1,"Innsbruck Reichenau","Traffic","urban",11.417789,47.271667,570
"4",4,"AT","AT.0008.20.AQ","NET.07","STA.07.2106","AT72106","SPO.07.2106.55837.5.1","SPP.07.2106.55837.5.1.2413","SAM.07.2106.55837.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",48.85499572,"µg/m3","2013-01-01 00:00:00 +01:00","2013-01-02 00:00:00 +01:00",1,1,"Innsbruck Reichenau","Traffic","urban",11.417789,47.271667,570
"5",5,"AT","AT.0008.20.AQ","NET.07","STA.07.2106","AT72106","SPO.07.2106.55837.5.1","SPP.07.2106.55837.5.1.2413","SAM.07.2106.55837.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",31.33999824,"µg/m3","2013-01-03 00:00:00 +01:00","2013-01-04 00:00:00 +01:00",1,1,"Innsbruck Reichenau","Traffic","urban",11.417789,47.271667,570
"6",6,"AT","AT.0008.20.AQ","NET.07","STA.07.2106","AT72106","SPO.07.2106.55837.5.1","SPP.07.2106.55837.5.1.2413","SAM.07.2106.55837.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",27.68299865,"µg/m3","2013-01-05 00:00:00 +01:00","2013-01-06 00:00:00 +01:00",1,1,"Innsbruck Reichenau","Traffic","urban",11.417789,47.271667,570
"7",7,"AT","AT.0008.20.AQ","NET.07","STA.07.2106","AT72106","SPO.07.2106.55837.5.1","SPP.07.2106.55837.5.1.2413","SAM.07.2106.55837.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",40.62599945,"µg/m3","2013-01-02 00:00:00 +01:00","2013-01-03 00:00:00 +01:00",1,1,"Innsbruck Reichenau","Traffic","urban",11.417789,47.271667,570
"8",8,"AT","AT.0008.20.AQ","NET.07","STA.07.2106","AT72106","SPO.07.2106.55837.5.1","SPP.07.2106.55837.5.1.2413","SAM.07.2106.55837.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",25.47299957,"µg/m3","2013-01-16 00:00:00 +01:00","2013-01-17 00:00:00 +01:00",1,1,"Innsbruck Reichenau","Traffic","urban",11.417789,47.271667,570
"9",9,"AT","AT.0008.20.AQ","NET.07","STA.07.2106","AT72106","SPO.07.2106.55837.5.1","SPP.07.2106.55837.5.1.2413","SAM.07.2106.55837.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",42.71399688,"µg/m3","2013-01-14 00:00:00 +01:00","2013-01-15 00:00:00 +01:00",1,1,"Innsbruck Reichenau","Traffic","urban",11.417789,47.271667,570
"10",10,"AT","AT.0008.20.AQ","NET.07","STA.07.2106","AT72106","SPO.07.2106.55837.5.1","SPP.07.2106.55837.5.1.2413","SAM.07.2106.55837.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",19.03799819,"µg/m3","2013-10-18 00:00:00 +01:00","2013-10-19 00:00:00 +01:00",1,1,"Innsbruck Reichenau","Traffic","urban",11.417789,47.271667,570
"11",11,"AT","AT.0008.20.AQ","NET.07","STA.07.2106","AT72106","SPO.07.2106.55837.5.1","SPP.07.2106.55837.5.1.2413","SAM.07.2106.55837.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",22.94999885,"µg/m3","2013-04-08 00:00:00 +01:00","2013-04-09 00:00:00 +01:00",1,1,"Innsbruck Reichenau","Traffic","urban",11.417789,47.271667,570
"12",12,"AT","AT.0008.20.AQ","NET.07","STA.07.2106","AT72106","SPO.07.2106.55837.5.1","SPP.07.2106.55837.5.1.2413","SAM.07.2106.55837.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",13.51499938,"µg/m3","2013-04-15 00:00:00 +01:00","2013-04-16 00:00:00 +01:00",1,1,"Innsbruck Reichenau","Traffic","urban",11.417789,47.271667,570
