"","X","Countrycode","Namespace","AirQualityNetwork","AirQualityStation","AirQualityStationEoICode","SamplingPoint","SamplingProcess","Sample","AirPollutant","AirPollutantCode","AveragingTime","Concentration","UnitOfMeasurement","DatetimeBegin","DatetimeEnd","Validity","Verification","statname","stattype","statareatype","lon","lat","altitude"
"1",1,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",50.39199447,"µg/m3","2013-01-28 00:00:00 +01:00","2013-01-29 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"2",2,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",39.26699829,"µg/m3","2013-01-29 00:00:00 +01:00","2013-01-30 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"3",3,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",42.21299743,"µg/m3","2013-01-27 00:00:00 +01:00","2013-01-28 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"4",4,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",38.6839981,"µg/m3","2013-01-30 00:00:00 +01:00","2013-01-31 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"5",5,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",23.06899833,"µg/m3","2013-01-16 00:00:00 +01:00","2013-01-17 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"6",6,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",38.43799972,"µg/m3","2013-01-14 00:00:00 +01:00","2013-01-15 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"7",7,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",24.50799751,"µg/m3","2013-01-12 00:00:00 +01:00","2013-01-13 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"8",8,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",20.164999,"µg/m3","2013-01-07 00:00:00 +01:00","2013-01-08 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"9",9,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",27.11999893,"µg/m3","2013-01-03 00:00:00 +01:00","2013-01-04 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"10",10,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",40.95999526,"µg/m3","2013-01-01 00:00:00 +01:00","2013-01-02 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"11",11,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",23.54399871,"µg/m3","2013-01-05 00:00:00 +01:00","2013-01-06 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"12",12,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",35.71399688,"µg/m3","2013-01-02 00:00:00 +01:00","2013-01-03 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"13",13,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",35.67200088,"µg/m3","2013-01-04 00:00:00 +01:00","2013-01-05 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"14",14,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",17.47299766,"µg/m3","2013-10-18 00:00:00 +01:00","2013-10-19 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"15",15,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",23.83499908,"µg/m3","2013-01-23 00:00:00 +01:00","2013-01-24 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"16",16,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",12.65699958,"µg/m3","2013-04-15 00:00:00 +01:00","2013-04-16 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"17",17,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",18.57099914,"µg/m3","2013-04-16 00:00:00 +01:00","2013-04-17 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"18",18,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",7.93299961,"µg/m3","2013-04-14 00:00:00 +01:00","2013-04-15 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"19",19,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",10.93599987,"µg/m3","2013-04-12 00:00:00 +01:00","2013-04-13 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"20",20,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14.02699947,"µg/m3","2013-04-09 00:00:00 +01:00","2013-04-10 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"21",21,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",8.42099952,"µg/m3","2013-04-13 00:00:00 +01:00","2013-04-14 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"22",22,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14.55499935,"µg/m3","2013-04-22 00:00:00 +01:00","2013-04-23 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"23",23,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",10.1459999,"µg/m3","2013-04-20 00:00:00 +01:00","2013-04-21 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
"24",24,"AT","AT.0008.20.AQ","NET.07","STA.07.2110","AT72110","SPO.07.2110.55474.5.1","SPP.07.2110.55474.5.1.2424","SAM.07.2110.55474.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",21.21099853,"µg/m3","2013-04-08 00:00:00 +01:00","2013-04-09 00:00:00 +01:00",1,1,"Innsbruck Zentrum Fallmerayerstr.","Traffic","urban",11.393064,47.263054,580
