"","X","Countrycode","Namespace","AirQualityNetwork","AirQualityStation","AirQualityStationEoICode","SamplingPoint","SamplingProcess","Sample","AirPollutant","AirPollutantCode","AveragingTime","Concentration","UnitOfMeasurement","DatetimeBegin","DatetimeEnd","Validity","Verification","statname","stattype","statareatype","lon","lat","altitude"
"1",1,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",6,"µg/m3","2013-02-01 00:00:00 +01:00","2013-02-02 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"2",2,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",13,"µg/m3","2013-10-18 00:00:00 +01:00","2013-10-19 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"3",3,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",31,"µg/m3","2013-01-24 00:00:00 +01:00","2013-01-25 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"4",4,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",15,"µg/m3","2013-10-28 00:00:00 +01:00","2013-10-29 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"5",5,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",20,"µg/m3","2013-07-09 00:00:00 +01:00","2013-07-10 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"6",6,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",36,"µg/m3","2013-06-20 00:00:00 +01:00","2013-06-21 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"7",7,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",7,"µg/m3","2013-05-20 00:00:00 +01:00","2013-05-21 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"8",8,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",18,"µg/m3","2013-08-12 00:00:00 +01:00","2013-08-13 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"9",9,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",9,"µg/m3","2013-08-20 00:00:00 +01:00","2013-08-21 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"10",10,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",12,"µg/m3","2013-07-30 00:00:00 +01:00","2013-07-31 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"11",11,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",5,"µg/m3","2013-09-12 00:00:00 +01:00","2013-09-13 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"12",12,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",15,"µg/m3","2013-11-03 00:00:00 +01:00","2013-11-04 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"13",13,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",22,"µg/m3","2013-11-01 00:00:00 +01:00","2013-11-02 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"14",14,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",32,"µg/m3","2013-12-05 00:00:00 +01:00","2013-12-06 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
"15",15,"AT","AT.0008.20.AQ","NET.04","STA.04.S184","AT4S184","SPO.04.S184.63742.5.1","SPP.04.S184.63742.5.1.2280","SAM.04.S184.63742.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",9,"µg/m3","2013-11-06 00:00:00 +01:00","2013-11-07 00:00:00 +01:00",1,1,"Linz Stadtpark","Background","urban",14.297501,48.30611,260
